pmra,pmde,jmag,ra,de,pmr_mas,pmd_mas,pmr_corr_mas,pmd_corr_mas
-9.500000000000000100e-07,-5.944440000000000255e-07,1.775000000000000000e+01,1.630666666666670039e+02,1.661611111111109906e+01,-3.419999999999999929e+00,-2.139998199999999962e+00,-1.458260178565979004e+00,1.157029986381530762e+00
-4.877780000000000417e-06,1.502779999999999908e-06,1.774899999999999878e+01,1.492833333333329904e+02,1.748444444444449886e+01,-1.756000900000000087e+01,5.410008000000000372e+00,-1.548370838165283203e+01,8.742393493652343750e+00
-1.438890000000000042e-06,-2.666669999999999830e-06,1.774899999999999878e+01,1.492833333333329904e+02,1.748444444444449886e+01,-5.180004000000000275e+00,-9.600011999999999546e+00,-3.103703260421752930e+00,-6.267626285552978516e+00
-1.861109999999999915e-07,-6.916670000000000220e-07,1.773799999999999955e+01,1.902429166666670142e+02,3.943916666666670068e+01,-6.699996000000000285e-01,-2.490001200000000026e+00,8.508759737014770508e-01,-4.486256539821624756e-01
-1.544440000000000031e-06,1.730559999999999953e-06,1.771999999999999886e+01,2.532612499999999898e+02,2.685944444444449886e+01,-5.559984000000000037e+00,6.230015999999999998e+00,-4.408123970031738281e+00,8.954182624816894531e+00
1.702779999999999899e-06,-1.972219999999999908e-07,1.770899999999999963e+01,1.899529166666669937e+02,1.204833333333330003e+01,6.130007700000000170e+00,-7.099992000000000525e-01,8.515355110168457031e+00,3.015619754791259766e+00
9.194439999999999844e-07,-2.555559999999999889e-07,1.770100000000000051e+01,2.165120833333330097e+02,1.350611111111109963e+01,3.309998499999999844e+00,-9.200015700000000463e-01,5.067019939422607422e+00,1.900648832321166992e+00
-1.952780000000000047e-06,-3.250000000000000118e-07,1.769999999999999929e+01,1.606037499999999909e+02,2.316694444444440038e+01,-7.030007999999999591e+00,-1.169999999999999929e+00,-5.185595035552978516e+00,1.865521907806396484e+00
-1.930559999999999944e-06,7.499999999999999661e-08,1.769099999999999895e+01,1.378704166666670119e+02,5.067194444444439938e+01,-6.950016500000000264e+00,2.700000000000000178e-01,-4.563807010650634766e+00,2.535154342651367188e+00
2.950000000000000131e-06,1.833330000000000072e-06,1.769099999999999895e+01,1.932962499999999864e+02,3.568861111111110063e+01,1.061999999999999922e+01,6.599987999999999744e+00,1.223995780944824219e+01,8.910046577453613281e+00
-1.841670000000000106e-06,-1.749999999999999974e-06,1.767899999999999849e+01,1.767604166666669983e+02,1.642611111111110134e+01,-6.630011999999999794e+00,-6.299999999999999822e+00,-4.373574733734130859e+00,-2.621885299682617188e+00
7.111110000000000471e-07,-3.127779999999999808e-06,1.767899999999999849e+01,3.263929166666670199e+02,-3.008999999999999986e+01,2.559999700000000100e+00,-1.126000799999999913e+01,1.838544756174087524e-02,-8.727832794189453125e+00
-1.450000000000000093e-06,-2.066670000000000069e-06,1.767500000000000071e+01,1.374570833333330029e+02,1.525583333333329961e+01,-5.220000299999999704e+00,-7.440012000000000292e+00,-2.867547512054443359e+00,-4.145924091339111328e+00
1.963890000000000098e-06,-2.822219999999999976e-06,1.766600000000000037e+01,2.156250000000000000e+01,-5.022777777777779562e+00,7.070004499999999581e+00,-1.015999200000000080e+01,4.685175895690917969e+00,-5.689701080322265625e+00
-1.302779999999999917e-06,-1.669440000000000105e-06,1.766499999999999915e+01,1.182933333333329955e+02,2.104555555555560176e+01,-4.690007999999999733e+00,-6.009984000000000215e+00,-3.328567504882812500e+00,-3.310207605361938477e+00
-6.138889999999999723e-07,-1.116670000000000059e-06,1.766499999999999915e+01,2.327700000000000102e+02,3.336222222222220068e+01,-2.210000299999999918e+00,-4.020012000000000363e+00,-4.640714526176452637e-01,-1.563542366027832031e+00
-1.186110000000000024e-06,-6.055560000000000260e-07,1.766100000000000136e+01,1.453070833333329972e+02,5.214861111111110148e+01,-4.269995999999999903e+00,-2.180001700000000042e+00,-1.940034747123718262e+00,-2.556316256523132324e-01
1.094440000000000104e-06,1.086109999999999923e-06,1.765800000000000125e+01,1.576779166666669880e+02,2.390222222222219983e+01,3.939983999999999931e+00,3.909996299999999980e+00,5.763559818267822266e+00,6.922317981719970703e+00
-1.374999999999999964e-06,2.513889999999999914e-06,1.765599999999999881e+01,1.184745833333330012e+02,2.638305555555560034e+01,-4.950000000000000178e+00,9.050003999999999493e+00,-3.507477760314941406e+00,1.161565876007080078e+01
-4.527780000000000062e-07,-3.972220000000000082e-07,1.765599999999999881e+01,1.564241666666669914e+02,2.490666666666669826e+01,-1.630000799999999916e+00,-1.429999199999999915e+00,1.688612699508666992e-01,1.553638458251953125e+00
-1.777779999999999922e-07,-2.444439999999999884e-07,1.765599999999999881e+01,1.859437499999999943e+02,2.770888888888890023e+01,-6.400008000000000363e-01,-8.799984499999999876e-01,1.252544522285461426e+00,2.396305799484252930e+00
-9.749999999999999823e-07,-2.099999999999999799e-06,1.765200000000000102e+01,1.361949999999999932e+02,2.371666666666670054e+01,-3.510000199999999904e+00,-7.560000399999999843e+00,-1.278740882873535156e+00,-4.328678607940673828e+00
-3.361109999999999847e-07,-3.274999999999999984e-06,1.764900000000000091e+01,2.127137500000000045e+02,2.002055555555559962e+01,-1.209999599999999953e+00,-1.178999999999999915e+01,8.144370913505554199e-01,-9.221156120300292969e+00
-4.066669999999999979e-06,1.205559999999999898e-06,1.764699999999999847e+01,1.554554166666669914e+02,1.998416666666669883e+01,-1.464001200000000047e+01,4.340016000000000318e+00,-1.269923019409179688e+01,7.523735046386718750e+00
-1.405560000000000100e-06,1.397220000000000067e-06,1.764600000000000080e+01,1.605149999999999864e+02,1.817166666666669883e+01,-5.060016000000000069e+00,5.029992000000000019e+00,-3.112876653671264648e+00,8.256118774414062500e+00
-1.952780000000000047e-06,-7.805560000000000446e-07,1.764600000000000080e+01,2.318499999999999943e+02,1.759861111111110077e+01,-7.030007999999999591e+00,-2.810001600000000099e+00,-4.820909023284912109e+00,3.667529672384262085e-02
1.422220000000000039e-06,1.194439999999999994e-06,1.764300000000000068e+01,1.239025000000000034e+02,4.324861111111110290e+01,5.119991999999999877e+00,4.299984000000000250e+00,7.213034152984619141e+00,6.878036975860595703e+00
-1.938889999999999914e-06,1.483330000000000035e-06,1.764199999999999946e+01,2.280658333333329892e+02,1.711055555555559948e+01,-6.980004000000000097e+00,5.339987999999999957e+00,-4.895498752593994141e+00,8.135799407958984375e+00
4.277779999999999809e-07,6.472219999999999969e-07,1.764099999999999824e+01,2.598783333333329892e+02,2.895722222222219955e+01,1.540000800000000059e+00,2.329999200000000048e+00,1.978749155998229980e+00,4.755710601806640625e+00
3.588890000000000209e-06,2.261110000000000108e-06,1.764099999999999824e+01,3.464641666666669835e+02,-2.837277777777779875e+01,1.292000400000000049e+01,8.139996000000000009e+00,9.622292518615722656e+00,1.016831779479980469e+01
4.561110000000000110e-06,-2.622220000000000196e-06,1.764000000000000057e+01,3.529566666666669903e+02,-2.733999999999999986e+01,1.641999600000000115e+01,-9.439992000000000161e+00,1.276619529724121094e+01,-7.310743808746337891e+00
-1.597220000000000058e-06,-1.566669999999999986e-06,1.763700000000000045e+01,2.486029166666669994e+02,2.151416666666669997e+01,-5.749991999999999770e+00,-5.640011999999999581e+00,-3.901388168334960938e+00,-2.811602354049682617e+00
1.222219999999999942e-07,-1.558329999999999952e-06,1.763500000000000156e+01,1.447616666666669971e+02,2.507777777777780059e+01,4.399992200000000242e-01,-5.609988000000000419e+00,2.477171897888183594e+00,-2.401326417922973633e+00
-1.927779999999999862e-06,-5.805559999999999478e-07,1.763299999999999912e+01,1.935608333333329938e+02,3.989722222222219727e+01,-6.940007699999999780e+00,-2.090001599999999904e+00,-5.346566677093505859e+00,-2.293245494365692139e-01
-1.174999999999999973e-06,-3.561109999999999943e-06,1.762099999999999866e+01,2.092541666666670039e+02,8.619166666666670196e+00,-4.230000000000000426e+00,-1.281999599999999973e+01,-2.527037620544433594e+00,-9.744883537292480469e+00
