pmra,pmde,jmag,ra,de,pmr_mas,pmd_mas
-4.91667E-7,5.27778E-7,17.558,177.96,22.4330555555556,-1.7700012,1.9000008
-1.02222E-6,2.63889E-7,17.55,178.953333333333,42.9,-3.679992,0.9500004
-7.25556E-6,3.33889E-6,17.55,306.148333333333,-32.8933333333333,-26.120016,12.020004
-2.91389E-6,-2.41667E-7,17.547,152.72875,40.0047222222222,-10.490005,-0.87000126
-1.08611E-6,-1.78889E-6,17.546,198.80125,24.1436111111111,-3.9099963,-6.440004
-2.46111E-6,3.05556E-8,17.546,231.632916666667,14.3716666666667,-8.859996,0.11000016
-1.63889E-7,-4.94444E-7,17.537,116.14,22.0161111111111,-0.5900004,-1.7799984
-9.11111E-7,-1.86111E-7,17.536,121.595416666667,25.3158333333333,-3.2799995,-0.6699996
1.02222E-6,-1.27222E-6,17.534,182.410833333333,27.6052777777778,3.679992,-4.579992
-1.68889E-6,-2.61111E-7,17.524,141.3175,65.9986111111111,-6.080004,-0.93999964
-5.275E-6,1.66111E-6,17.519,149.252083333333,28.6780555555556,-18.99,5.979996
7.27778E-7,6.55556E-7,17.516,193.6875,3.83888888888889,2.6200008,2.3600016
9.0E-7,2.30278E-6,17.514,12.13,-38.2008333333333,3.24,8.290009
-2.0E-7,2.57222E-6,17.512,190.085,41.9922222222222,-0.72,9.259992
-9.05556E-7,-2.99167E-6,17.511,329.23875,-18.2294444444444,-3.2600017,-10.770012
-1.96944E-6,-1.22222E-7,17.505,114.93625,29.6863888888889,-7.0899844,-0.43999922
-3.0E-7,-1.35556E-6,17.505,158.425833333333,10.0958333333333,-1.08,-4.880016
-1.18333E-6,-7.77778E-8,17.501,164.9975,43.7152777777778,-4.2599883,-0.28000006
-1.08056E-6,2.77778E-8,17.497,190.1325,28.73,-3.8900158,0.100000076
-7.41389E-6,8.13889E-7,17.496,23.35375,-31.8536111111111,-26.690004,2.9300005
-8.72222E-7,1.53333E-6,17.493,211.320833333333,15.8713888888889,-3.1399992,5.519988
-5.55556E-8,-1.43333E-6,17.492,137.86875,20.3202777777778,-0.20000015,-5.159988
-5.5E-7,-2.19444E-7,17.492,161.808333333333,45.3286111111111,-1.9799999,-0.7899984
-4.94444E-7,1.94444E-8,17.491,39.30875,5.44694444444444,-1.7799984,0.06999984
-3.13889E-7,-2.80556E-6,17.489,20.6558333333333,-26.7791666666667,-1.1300004,-10.100016
8.81111E-6,4.30556E-5,17.489,20.6558333333333,-26.7791666666667,31.719995,155.00015
8.05556E-7,-1.39444E-6,17.488,193.694583333333,36.7102777777778,2.9000015,-5.0199842
-1.18889E-6,-1.89722E-6,17.487,114.937083333333,29.5533333333333,-4.280004,-6.8299923
3.41111E-6,-1.59167E-6,17.487,325.172916666667,-23.7886111111111,12.279996,-5.730012
-5.97222E-7,-1.35E-6,17.486,215.2925,39.3605555555555,-2.1499994,-4.86
-2.04167E-6,1.30556E-6,17.486,215.2925,39.3605555555555,-7.3500123,4.700016
-3.22222E-7,1.49167E-6,17.485,149.61125,22.02,-1.1599993,5.370012
1.66667E-8,-2.45E-6,17.483,0.743333333333334,-27.8961111111111,0.06000012,-8.82
1.23889E-6,-1.05556E-7,17.483,20.8154166666667,-29.6038888888889,4.4600043,-0.3800016
1.21389E-6,-1.15556E-6,17.483,193.163333333333,61.6805555555556,4.3700037,-4.160016
1.05556E-7,1.44167E-6,17.483,219.082916666667,46.215,0.3800016,5.190012
1.53889E-6,-5.41667E-7,17.482,186.003333333333,27.1766666666667,5.5400043,-1.9500012
3.44444E-7,1.33333E-7,17.482,209.502083333333,40.7327777777778,1.2399985,0.4799988
1.03056E-6,-1.175E-6,17.481,17.2370833333333,-10.0191666666667,3.7100163,-4.23
6.5E-7,-3.95278E-6,17.481,162.185,13.2780555555556,2.34,-14.230008
-1.17778E-6,-2.76667E-6,17.479,137.431666666667,51.5208333333333,-4.240008,-9.9600115
4.72222E-8,-2.91667E-7,17.478,167.360416666667,52.1019444444444,0.16999993,-1.0500011
4.10833E-6,-2.82778E-6,17.477,2.8575,-10.9527777777778,14.789988,-10.180008
-4.79167E-6,-2.92778E-6,17.475,196.441666666667,-1.31888888888889,-17.250011,-10.540009
1.43611E-6,-2.20278E-6,17.475,202.373333333333,-2.46777777777778,5.169996,-7.930008
4.18778E-5,8.35056E-5,17.475,202.373333333333,-2.46777777777778,150.76009,300.62015
-3.58333E-7,-2.26389E-6,17.474,47.7729166666667,0.943055555555556,-1.2899989,-8.150004
-2.28333E-6,-3.07222E-6,17.474,134.93375,21.4197222222222,-8.219989,-11.059992
6.22222E-7,-4.72222E-8,17.473,129.57125,20.4680555555555,2.239999,-0.16999993
4.10556E-6,-1.98333E-6,17.473,234.704583333333,1.49416666666667,14.780016,-7.1399884
4.61111E-7,-3.47222E-7,17.472,18.5875,-0.68,1.6599996,-1.2499992
1.05556E-7,-4.36111E-7,17.47,11.8025,-8.725,0.3800016,-1.5699996
-2.28333E-6,-3.38889E-7,17.47,145.85625,5.95666666666667,-8.219989,-1.2200004
-3.91667E-7,-4.0E-7,17.469,171.514166666667,42.2583333333333,-1.4100012,-1.44
1.11111E-6,-3.88889E-7,17.469,196.631666666667,15.1352777777778,3.999996,-1.4000003
-5.30556E-7,2.71944E-6,17.469,204.657916666667,38.2397222222222,-1.9100016,9.789985
